2021-06-10::12-54-47
*************** epoch:1 ***************
loss: 9.37852	cur:[0]\[10618]
loss: 3.02778	cur:[1000]\[10618]
loss: 2.76803	cur:[2000]\[10618]
loss: 2.59208	cur:[3000]\[10618]
loss: 2.48997	cur:[4000]\[10618]
loss: 2.40634	cur:[5000]\[10618]
loss: 2.35873	cur:[6000]\[10618]
loss: 2.31969	cur:[7000]\[10618]
loss: 2.28042	cur:[8000]\[10618]
loss: 2.23843	cur:[9000]\[10618]
loss: 2.21876	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 2.14907	cur:[250]\[1320]
loss: 2.11274	cur:[500]\[1320]
loss: 2.12728	cur:[750]\[1320]
loss: 2.13719	cur:[1000]\[1320]
loss: 2.13374	cur:[1250]\[1320]
save model at ./check_point5/best.pth
epoch:1	bleu:0.00000
*************** epoch:2 ***************
loss: 2.16622	cur:[1000]\[10618]
loss: 2.14422	cur:[2000]\[10618]
loss: 2.13881	cur:[3000]\[10618]
loss: 2.12777	cur:[4000]\[10618]
loss: 2.09583	cur:[5000]\[10618]
loss: 2.12627	cur:[6000]\[10618]
loss: 2.08540	cur:[7000]\[10618]
loss: 2.08531	cur:[8000]\[10618]
loss: 2.06605	cur:[9000]\[10618]
loss: 2.07415	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 2.04314	cur:[250]\[1320]
loss: 2.00632	cur:[500]\[1320]
loss: 1.97462	cur:[750]\[1320]
loss: 2.01863	cur:[1000]\[1320]
loss: 2.03051	cur:[1250]\[1320]
epoch:2	bleu:0.00000
*************** epoch:3 ***************
loss: 2.06896	cur:[1000]\[10618]
loss: 2.04882	cur:[2000]\[10618]
loss: 2.03043	cur:[3000]\[10618]
loss: 2.02961	cur:[4000]\[10618]
loss: 2.04369	cur:[5000]\[10618]
loss: 2.00347	cur:[6000]\[10618]
loss: 2.00156	cur:[7000]\[10618]
loss: 2.00817	cur:[8000]\[10618]
loss: 2.00041	cur:[9000]\[10618]
loss: 1.97335	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.96715	cur:[250]\[1320]
loss: 1.95553	cur:[500]\[1320]
loss: 1.95793	cur:[750]\[1320]
loss: 1.96067	cur:[1000]\[1320]
loss: 1.96643	cur:[1250]\[1320]
save model at ./check_point5/best.pth
epoch:3	bleu:0.02850
*************** epoch:4 ***************
loss: 1.98730	cur:[1000]\[10618]
loss: 1.98080	cur:[2000]\[10618]
loss: 1.96540	cur:[3000]\[10618]
loss: 1.96559	cur:[4000]\[10618]
loss: 1.96432	cur:[5000]\[10618]
loss: 1.95039	cur:[6000]\[10618]
loss: 1.93121	cur:[7000]\[10618]
loss: 1.94166	cur:[8000]\[10618]
loss: 1.92808	cur:[9000]\[10618]
loss: 1.92532	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.92082	cur:[250]\[1320]
loss: 1.89190	cur:[500]\[1320]
loss: 1.90781	cur:[750]\[1320]
loss: 1.91455	cur:[1000]\[1320]
loss: 1.89601	cur:[1250]\[1320]
epoch:4	bleu:0.00000
*************** epoch:5 ***************
loss: 1.91043	cur:[1000]\[10618]
loss: 1.90534	cur:[2000]\[10618]
loss: 1.91434	cur:[3000]\[10618]
loss: 1.88669	cur:[4000]\[10618]
loss: 1.86783	cur:[5000]\[10618]
